GeneID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24
ENSMUSG00000026343	2	2	2	0	5	0	0	2	3	0	6	1	2	0	0	11	0	2	1	6	0	9	2	0
ENSMUSG00000026344	1	1	1	65	0	1	0	1	1	0	1	6	7	0	38	6	1	4	1	3	0	1	4	14
ENSMUSG00000049690	3	32	8	2	18	7	18	1	101	0	41	54	52	0	3	17	17	53	0	122	3	63	78	86
ENSMUSG00000080345	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036155	3	1	5	32	45	8	5	4	14	0	34	11	28	1	41	61	3	36	2	21	0	52	37	36
ENSMUSG00000093146	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	2
ENSMUSG00000065687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000026347	1	0	1	29	5	7	3	0	6	0	6	4	4	0	13	9	1	4	0	13	0	8	5	2
ENSMUSG00000026348	77	97	22	0	1	2	118	34	2	0	0	2	1	12	2	1	1	319	8	2	1	4	1	12
ENSMUSG00000026349	169	95	73	303	568	102	100	35	112	11	215	587	930	17	277	857	262	333	27	176	67	662	584	1758
ENSMUSG00000051590	0	0	0	2	0	0	0	0	8	0	0	1	2	0	2	0	0	0	0	13	0	0	5	0
ENSMUSG00000036104	34	40	34	221	181	72	74	24	64	15	101	279	217	6	154	220	127	154	17	79	37	222	274	380
ENSMUSG00000036086	1	4	2	23	10	8	0	1	1	6	15	11	15	2	4	7	14	9	3	12	24	22	21	59
ENSMUSG00000058603	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	2	1	0
ENSMUSG00000056211	67	59	46	695	375	116	95	19	39	34	115	318	630	5	422	316	292	200	13	75	82	400	464	760
ENSMUSG00000065520	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026353	208	158	120	201	194	118	117	74	127	24	231	366	475	32	110	284	227	298	53	170	58	687	494	1115
ENSMUSG00000026354	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ENSMUSG00000026355	3	0	2	16	58	22	18	2	23	5	88	47	106	0	16	43	22	73	1	62	3	135	108	150
ENSMUSG00000026356	232	287	174	419	392	295	174	83	68	77	319	608	815	37	255	360	623	501	73	149	151	566	1000	1585
ENSMUSG00000045382	8	3	0	2	18	8	5	0	20	0	28	44	61	0	1	17	10	12	0	48	2	29	72	48
ENSMUSG00000091877	0	2	1	2	1	2	1	0	2	0	0	6	4	0	0	2	1	2	0	3	1	3	8	10
ENSMUSG00000042581	0	0	1	19	0	0	0	0	0	0	3	10	2	0	14	1	3	0	0	0	0	7	9	3
ENSMUSG00000026401	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	8	0	0	0	0
ENSMUSG00000087691	3	6	0	0	5	3	0	0	1	1	0	34	41	0	0	9	0	0	0	6	2	8	13	84
ENSMUSG00000086825	19	4	1	4	43	6	0	4	15	5	6	72	135	2	0	55	2	42	1	16	5	16	31	222
ENSMUSG00000026399	102	147	42	62	873	116	39	21	126	43	123	1613	2375	8	70	939	231	82	8	295	142	353	1354	3652
ENSMUSG00000085526	0	0	0	1	0	1	0	0	1	0	0	3	1	0	1	0	0	0	0	0	0	6	0	0
ENSMUSG00000026405	1034	1180	863	0	79	0	0	654	0	0	0	0	2	212	0	41	0	2	581	0	0	0	6	1
ENSMUSG00000026409	55	54	33	152	534	169	74	23	72	10	50	131	430	3	132	497	309	168	12	100	22	141	185	778
ENSMUSG00000046404	65	325	83	246	104	28	93	49	35	5	40	184	396	14	297	193	48	151	16	55	31	161	187	995
ENSMUSG00000042510	1	3	0	3	25	3	13	4	119	0	2	4	39	2	1	48	3	56	0	99	0	2	9	164
ENSMUSG00000026415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	5	0	0	2	3
